area,bedroom,price,floor,road-width,parking
 40 m,2 phòng ngủ, 950 triệu ,2 lầu,5m,
 65 m,2 phòng ngủ," 1,65 tỷ ",40 lầu,,
 80 m,3 phòng ngủ," 2,999 tỷ ",19 lầu,,
 56 m,2 phòng ngủ," 1,33 tỷ ",25 lầu,,
 85 m,2 phòng ngủ," 3,6 tỷ ",20 lầu,,
 65 m,2 phòng ngủ," 1,85 tỷ ",42 lầu,1m,
 108 m,3 phòng ngủ," 5,5 tỷ ",19 lầu,,
 60 m,2 phòng ngủ," 2,28 tỷ ",5 lầu,,
 56 m,2 phòng ngủ," 1,45 tỷ ",28 lầu,,
 60 m,2 phòng ngủ," 1,63 tỷ ",,30m,chỗ để xe
 60 m,2 phòng ngủ," 1,3 tỷ ",,,chỗ để xe
 65 m,2 phòng ngủ," 1,66 tỷ ",28 lầu,,
 77 m,2 phòng ngủ," 2,7 tỷ ",15 lầu,,chỗ để xe
 67 m,2 phòng ngủ," 3,28 tỷ ",1 lầu,6m,
 65 m,2 phòng ngủ," 2,7 tỷ ",,6m,
 64 m,2 phòng ngủ," 1,4 tỷ ",1 lầu,30m,chỗ để xe
 92 m,3 phòng ngủ," 3,6 tỷ ",5 lầu,5m,chỗ để xe
 80 m,3 phòng ngủ," 2,42 tỷ ",10 lầu,,chỗ để xe
 75 m,3 phòng ngủ," 2,9 tỷ ",2 lầu,3m,chỗ để xe
 90 m,3 phòng ngủ," 4,1 tỷ ",35 lầu,,
 30 m,2 phòng ngủ, 950 triệu ,,,
 65 m,2 phòng ngủ," 1,43 tỷ ",,"4,5m",chỗ để xe
 60 m,2 phòng ngủ," 2,15 tỷ ",,,
 76 m,3 phòng ngủ, 46 triệu / m,16 lầu,,
 85 m,3 phòng ngủ," 2,8 tỷ ",10 lầu,15m,chỗ để xe
 75 m,2 phòng ngủ," 2,4 tỷ ",7 lầu,,
 80 m,2 phòng ngủ," 2,9 tỷ ",1 lầu,,
 77 m,3 phòng ngủ," 1,39 tỷ ",6 lầu,,
 69 m,2 phòng ngủ," 2,3 tỷ ",1 lầu,8m,chỗ để xe
