area,bedroom,price
 65 m,2 phòng ngủ," 1,9 tỷ "
 62 m,2 phòng ngủ," 1,65 tỷ "
 80 m,2 phòng ngủ," 3,2 tỷ "
 71 m,3 phòng ngủ," 2,5 tỷ "
 83 m,3 phòng ngủ," 2,65 tỷ "
 64 m,2 phòng ngủ," 2,35 tỷ "
 80 m,2 phòng ngủ," 2,5 tỷ "
 82 m,2 phòng ngủ," 4,3 tỷ "
 100 m,2 phòng ngủ," 2,89 tỷ "
 78 m,3 phòng ngủ," 1,93 tỷ "
 83 m,3 phòng ngủ," 2,7 tỷ "
 82 m,3 phòng ngủ," 2,65 tỷ "
 77 m,3 phòng ngủ," 2,55 tỷ "
 82 m,3 phòng ngủ, 3 tỷ 
 80 m,3 phòng ngủ," 3,45 tỷ "
 54 m,2 phòng ngủ," 1,45 tỷ "
 91 m,3 phòng ngủ," 3,5 tỷ "
 63 m,2 phòng ngủ," 2,3 tỷ "
 33 m,2 phòng ngủ, 600 triệu 
 36 m,1 phòng ngủ, 600 triệu 
 141 m,3 phòng ngủ," 4,8 tỷ "
 60 m,2 phòng ngủ," 1,85 tỷ "
 60 m,2 phòng ngủ," 3,35 tỷ "
 68 m,2 phòng ngủ," 2,35 tỷ "
 76 m,3 phòng ngủ," 2,56 tỷ "
 80 m,2 phòng ngủ," 2,45 tỷ "
 76 m,2 phòng ngủ," 2,05 tỷ "
 75 m,2 phòng ngủ," 2,15 tỷ "
 83 m,3 phòng ngủ," 2,75 tỷ "
 80 m,2 phòng ngủ, 30 triệu / m
 50 m,2 phòng ngủ, 680 triệu 
 46 m,2 phòng ngủ, 700 triệu 
 56 m,2 phòng ngủ," 1,16 tỷ "
 135 m,3 phòng ngủ," 5,2 tỷ "
 83 m,3 phòng ngủ, 2 tỷ 
 74 m,2 phòng ngủ, 515 triệu 
 91 m,2 phòng ngủ," 3,55 tỷ "
 95 m,2 phòng ngủ," 2,99 tỷ "
 95 m,3 phòng ngủ," 2,68 tỷ "
 75 m,2 phòng ngủ," 1,75 tỷ "
 60 m,2 phòng ngủ," 2,25 tỷ "
 82 m,3 phòng ngủ," 1,8 tỷ "
 45 m,1 phòng ngủ," 1,07 tỷ "
 73 m,2 phòng ngủ," 2,1 tỷ "
 85 m,2 phòng ngủ," 2,68 tỷ "
 72 m,3 phòng ngủ," 1,95 tỷ "
 90 m,3 phòng ngủ," 2,5 tỷ "
 86 m,2 phòng ngủ," 2,85 tỷ "
 89 m,2 phòng ngủ," 2,85 tỷ "
 86 m,2 phòng ngủ," 2,85 tỷ "
 125 m,5 phòng ngủ," 4,3 tỷ "
 60 m,2 phòng ngủ," 1,65 tỷ "
 63 m,2 phòng ngủ," 2,15 tỷ "
 56 m,2 phòng ngủ," 1,38 tỷ "
 75 m,2 phòng ngủ," 2,7 tỷ "
 69 m,2 phòng ngủ," 2,2 tỷ "
 90 m,3 phòng ngủ," 3,6 tỷ "
 112 m,3 phòng ngủ," 4,5 tỷ "
 81 m,3 phòng ngủ," 1,8 tỷ "
 75 m,2 phòng ngủ," 2,5 tỷ "
 79 m,2 phòng ngủ," 2,8 tỷ "
 32 m,1 phòng ngủ, 700 triệu 
 85 m,2 phòng ngủ," 2,75 tỷ "
 32 m,1 phòng ngủ, 714 triệu 
 45 m,2 phòng ngủ, 990 triệu 
 30 m,1 phòng ngủ, 690 triệu 
 75 m,2 phòng ngủ," 2,4 tỷ "
 70 m,2 phòng ngủ," 1,85 tỷ "
 62 m,2 phòng ngủ," 3,1 tỷ "
 67 m,2 phòng ngủ," 1,48 tỷ "
 86 m,3 phòng ngủ," 3,55 tỷ "
 76 m,3 phòng ngủ," 2,95 tỷ "
 110 m,2 phòng ngủ," 3,3 tỷ "
 88 m,2 phòng ngủ," 2,4 tỷ "
 121 m,9 phòng ngủ," 3,5 tỷ "
 85 m,3 phòng ngủ," 2,9 tỷ "
 32 m,2 phòng ngủ," 1,1 tỷ "
 90 m,2 phòng ngủ," 37,5 triệu / m"
 50 m,2 phòng ngủ, 600 triệu 
 75 m,2 phòng ngủ," 2,7 tỷ "
 99 m,3 phòng ngủ," 3,5 tỷ "
 135 m,3 phòng ngủ," 3,5 tỷ "
 69 m,2 phòng ngủ," 2,5 tỷ "
 63 m,2 phòng ngủ," 1,8 tỷ "
 77 m,3 phòng ngủ," 2,3 tỷ "
 70 m,3 phòng ngủ," 2,7 tỷ "
 87 m,3 phòng ngủ," 2,75 tỷ "
 60 m,2 phòng ngủ," 1,66 tỷ "
 62 m,," 2,2 tỷ "
 74 m,3 phòng ngủ," 1,98 tỷ "
 90 m,3 phòng ngủ," 2,7 tỷ "
 100 m,3 phòng ngủ," 2,68 tỷ "
 66 m,2 phòng ngủ," 2,68 tỷ "
 68 m,9 phòng ngủ," 3,25 tỷ "
 107 m,3 phòng ngủ," 3,26 tỷ "
 50 m,2 phòng ngủ," 1,1 tỷ "
 95 m,3 phòng ngủ," 2,55 tỷ "
 90 m,3 phòng ngủ," 2,53 tỷ "
 75 m,3 phòng ngủ," 1,88 tỷ "
 65 m,2 phòng ngủ," 2,58 tỷ "
 75 m,3 phòng ngủ," 1,85 tỷ "
 76 m,2 phòng ngủ," 2,55 tỷ "
 80 m,2 phòng ngủ," 2,7 tỷ "
 130 m,3 phòng ngủ," 3,8 tỷ "
 74 m,3 phòng ngủ," 2,15 tỷ "
 107 m,3 phòng ngủ," 2,98 tỷ "
 130 m,3 phòng ngủ," 3,8 tỷ "
 85 m,2 phòng ngủ," 3,1 tỷ "
 82 m,2 phòng ngủ," 2,25 tỷ "
 95 m,3 phòng ngủ," 3,5 tỷ "
 78 m,2 phòng ngủ," 2,9 tỷ "
 55 m,2 phòng ngủ," 2,3 tỷ "
 58 m,2 phòng ngủ," 1,75 tỷ "
 60 m,2 phòng ngủ," 2,3 tỷ "
 50 m,2 phòng ngủ," 1,9 tỷ "
 65 m,2 phòng ngủ," 2,68 tỷ "
 96 m,3 phòng ngủ," 2,9 tỷ "
 96 m,3 phòng ngủ," 2,9 tỷ "
 100 m,22 phòng ngủ," 16,8 tỷ "
 69 m,2 phòng ngủ," 2,36 tỷ "
 84 m,2 phòng ngủ," 3,09 tỷ "
 45 m,1 phòng ngủ, 950 triệu 
 60 m,2 phòng ngủ," 2,35 tỷ "
 50 m,2 phòng ngủ," 1,05 tỷ "
 98 m,2 phòng ngủ," 2,25 tỷ "
 50 m,1 phòng ngủ," 1,78 tỷ "
 75 m,3 phòng ngủ," 2,15 tỷ "
 66 m,2 phòng ngủ," 2,08 tỷ "
 56 m,2 phòng ngủ," 1,95 tỷ "
 83 m,2 phòng ngủ, 4 tỷ 
 81 m,2 phòng ngủ," 2,6 tỷ "
 75 m,3 phòng ngủ, 2 tỷ 
 71 m,2 phòng ngủ," 2,39 tỷ "
 75 m,2 phòng ngủ, 22 triệu / m
 50 m,2 phòng ngủ, 780 triệu 
 69 m,2 phòng ngủ, 40 triệu / m
 100 m,3 phòng ngủ," 4,1 tỷ "
 30 m,1 phòng ngủ, 595 triệu 
 72 m,2 phòng ngủ," 2,8 tỷ "
 71 m,3 phòng ngủ," 2,2 tỷ "
 60 m,2 phòng ngủ," 1,98 tỷ "
 63 m,2 phòng ngủ," 2,25 tỷ "
 95 m,3 phòng ngủ," 4,25 tỷ "
 71 m,2 phòng ngủ," 2,1 tỷ "
 69 m,2 phòng ngủ," 1,89 tỷ "
 68 m,2 phòng ngủ," 2,25 tỷ "
 85 m,2 phòng ngủ," 3,2 tỷ "
 100 m,3 phòng ngủ," 3,4 tỷ "
 67 m,2 phòng ngủ, 45 triệu / m
 99 m,3 phòng ngủ," 4,1 tỷ "
 66 m,2 phòng ngủ," 2,8 tỷ "
 68 m,2 phòng ngủ," 2,3 tỷ "
 130 m,4 phòng ngủ, 3 tỷ 
 70 m,2 phòng ngủ, 2 tỷ 
 82 m,3 phòng ngủ, 3 tỷ 
 96 m,3 phòng ngủ," 2,6 tỷ "
 90 m,3 phòng ngủ," 2,7 tỷ "
 46 m,2 phòng ngủ," 1,17 tỷ "
 61 m,2 phòng ngủ," 1,5 tỷ "
 68 m,2 phòng ngủ," 1,68 tỷ "
 75 m,3 phòng ngủ," 3,15 tỷ "
 56 m,2 phòng ngủ," 1,29 tỷ "
 58 m,2 phòng ngủ," 1,25 tỷ "
 65 m,2 phòng ngủ," 2,4 tỷ "
 80 m,2 phòng ngủ," 3,95 tỷ "
 68 m,2 phòng ngủ," 2,65 tỷ "
 63 m,2 phòng ngủ," 1,48 tỷ "
 115 m,3 phòng ngủ," 3,65 tỷ "
 72 m,2 phòng ngủ," 2,15 tỷ "
 85 m,3 phòng ngủ," 3,1 tỷ "
 81 m,2 phòng ngủ," 3,3 tỷ "
 90 m,2 phòng ngủ," 3,3 tỷ "
 82 m,3 phòng ngủ," 3,28 tỷ "
 52 m,2 phòng ngủ," 1,83 tỷ "
 76 m,2 phòng ngủ," 2,75 tỷ "
 85 m,2 phòng ngủ," 2,3 tỷ "
 49 m,1 phòng ngủ," 1,63 tỷ "
 75 m,2 phòng ngủ, 26 triệu / m
 77 m,2 phòng ngủ," 2,15 tỷ "
 50 m,2 phòng ngủ," 1,42 tỷ "
 75 m,2 phòng ngủ," 1,99 tỷ "
 54 m,2 phòng ngủ," 1,53 tỷ "
 65 m,2 phòng ngủ," 2,05 tỷ "
 80 m,2 phòng ngủ," 3,2 tỷ "
 120 m,2 phòng ngủ," 2,1 tỷ "
 62 m,2 phòng ngủ," 2,85 tỷ "
 79 m,2 phòng ngủ," 2,5 tỷ "
 69 m,2 phòng ngủ," 1,8 tỷ "
 58 m,2 phòng ngủ," 1,55 tỷ "
 68 m,2 phòng ngủ," 2,25 tỷ "
 84 m,2 phòng ngủ," 2,33 tỷ "
 89 m,3 phòng ngủ," 2,5 tỷ "
 100 m,3 phòng ngủ," 3,6 tỷ "
 63 m,2 phòng ngủ," 1,85 tỷ "
 100 m,2 phòng ngủ," 3,35 tỷ "
 95 m,3 phòng ngủ," 3,4 tỷ "
 50 m,2 phòng ngủ, 760 triệu 
 100 m,3 phòng ngủ," 2,57 tỷ "
 88 m,2 phòng ngủ," 2,95 tỷ "
 80 m,2 phòng ngủ," 3,35 tỷ "
 67 m,2 phòng ngủ," 1,58 tỷ "
 93 m,3 phòng ngủ," 2,6 tỷ "
 68 m,2 phòng ngủ," 2,8 tỷ "
 82 m,3 phòng ngủ," 2,45 tỷ "
 70 m,2 phòng ngủ," 2,2 tỷ "
 90 m,3 phòng ngủ," 2,55 tỷ "
 69 m,2 phòng ngủ," 2,2 tỷ "
 71 m,2 phòng ngủ," 2,38 tỷ "
 75 m,2 phòng ngủ," 2,18 tỷ "
 63 m,2 phòng ngủ," 1,93 tỷ "
 51 m,2 phòng ngủ," 2,55 tỷ "
 58 m,2 phòng ngủ," 1,566 tỷ "
 141 m,3 phòng ngủ," 5,2 tỷ "
 89 m,3 phòng ngủ, 3 tỷ 
 78 m,3 phòng ngủ," 2,9 tỷ "
 76 m,3 phòng ngủ," 2,3 tỷ "
 76 m,3 phòng ngủ," 2,3 tỷ "
 94 m,3 phòng ngủ," 3,9 tỷ "
 94 m,3 phòng ngủ," 3,9 tỷ "
 56 m,2 phòng ngủ," 1,5 tỷ "
 68 m,2 phòng ngủ," 2,68 tỷ "
 48 m,2 phòng ngủ, 880 triệu 
