area,bedroom,price,floor,road-width,parking
70.0,3.0,1.95,3.0,,1
82.0,3.0,2.3,,,0
55.0,2.0,1.55,42.0,,0
46.0,1.0,1.12,1.0,12.0,0
33.0,1.0,0.6,5.0,5.0,0
88.0,3.0,4.0,16.0,24.0,0
71.0,2.0,2.0,,,0
84.0,2.0,2.65,11.0,,1
56.0,2.0,2.05,10.0,,0
56.0,2.0,1.5,1.0,,0
70.0,2.0,2.67,18.0,,1
85.0,2.0,2.65,9.0,0.0,0
54.0,2.0,1.2,6.0,,0
45.0,1.0,1.23,28.0,,0
45.0,1.0,1.25,28.0,,0
56.0,2.0,1.78,15.0,,0
75.0,2.0,3.1,,,0
68.0,2.0,2.6,29.0,10.0,1
74.0,2.0,2.0,17.0,,1
55.0,2.0,2.3,,,1
80.0,2.0,3.35,1.0,5.0,0
45.0,1.0,1.29,40.0,,0
68.0,2.0,1.9,,,0
72.0,2.0,2.95,,4.0,0
56.0,2.0,1.68,10.0,,0
71.0,2.0,2.25,11.0,,0
56.0,2.0,1.48,39.0,,0
86.0,3.0,3.75,,15.0,0
75.0,2.0,2.3,1.0,,0
56.0,2.0,1.55,,,0
71.0,2.0,1.9,15.0,40.0,0
107.0,3.0,2.98,28.0,20.0,0
46.0,2.0,2.07,10.0,,1
107.0,3.0,2.9,1.0,,0
65.0,2.0,2.4,18.0,5.0,0
80.0,2.0,3.28,16.0,,0
76.0,2.0,1.3,1.0,,0
65.0,2.0,2.4,6.0,30.0,1
141.0,3.0,5.2,1.0,15.0,1
85.0,2.0,3.2,20.0,,1
96.0,3.0,3.8,,,0
89.0,3.0,3.4,27.0,,1
55.0,2.0,2.15,1.0,,0
80.0,2.0,2.96,,,0
65.0,2.0,1.55,23.0,,1
75.0,3.0,3.15,30.0,50.0,1
114.0,3.0,4.6,,,0
96.0,3.0,2.9,21.0,,0
60.0,2.0,2.1,,,0
99.0,3.0,4.0,7.0,45.0,1
93.0,3.0,2.78,1.0,5.0,1
83.0,4.0,2.49,,,0
106.0,3.0,4.24,1.0,,1
68.0,2.0,2.38,,,0
60.0,2.0,1.87,4.0,20.0,0
54.0,2.0,2.2,10.0,,0
90.0,3.0,2.0,17.0,5.0,1
86.0,3.0,4.05,14.0,,1
130.0,4.0,3.0,21.0,4.0,1
70.0,2.0,2.0,1.0,2.0,1
81.0,3.0,3.3,10.0,,0
128.0,3.0,4.3,10.0,,0
83.0,3.0,2.75,12.0,,0
80.0,3.0,2.85,12.0,,0
86.0,2.0,3.0,1.0,15.0,1
81.0,3.0,3.0,1.0,20.0,1
131.0,3.0,4.6,15.0,,0
125.0,3.0,3.3,15.0,8.0,1
93.0,2.0,3.3,16.0,,1
85.0,2.0,2.55,19.0,,1
71.0,2.0,1.8,25.0,,0
57.0,2.0,1.35,2.0,,0
76.0,2.0,2.8,21.0,20.0,0
130.0,4.0,3.8,10.0,20.0,1
90.0,3.0,2.0,,5.0,0
76.0,3.0,3.7,16.0,8.0,1
70.0,2.0,2.2,1.0,10.0,0
90.0,2.0,3.3,30.0,,0
85.0,2.0,2.7,1.0,3.0,1
98.0,2.0,2.25,1.0,3.0,0
100.0,3.0,4.4,29.0,30.0,1
130.0,3.0,3.8,18.0,20.0,1
74.0,2.0,2.5,7.0,20.0,1
95.0,3.0,2.55,16.0,50.0,0
95.0,3.0,3.4,,0.0,1
130.0,3.0,3.8,18.0,5.0,0
32.0,1.0,0.7,3.0,5.0,1
30.0,1.0,0.69,3.0,,1
30.0,1.0,0.59,3.0,5.0,1
54.0,2.0,1.35,45.0,,0
128.0,3.0,4.5,29.0,25.0,1
71.0,2.0,2.3,,,1
100.0,3.0,2.57,5.0,10.0,1
72.0,2.0,1.67,,15.0,0
106.0,3.0,2.97,,,0
107.0,3.0,3.26,6.0,20.0,1
94.0,3.0,3.68,15.0,20.0,1
65.0,2.0,2.68,1.0,18.0,1
80.0,3.0,2.62,,20.0,1
78.0,3.0,2.08,20.0,70.0,1
78.0,2.0,2.9,10.0,30.0,1
90.0,3.0,2.52,27.0,40.0,0
94.0,2.0,3.2,12.0,7.0,0
87.0,2.0,2.4,21.0,,0
90.0,3.0,2.6,8.0,40.0,0
82.0,2.0,3.43,8.0,12.0,1
50.0,2.0,0.8,1.0,,0
46.0,1.0,1.1,,,0
93.0,2.0,3.3,16.0,,0
82.0,3.0,2.7,11.0,,1
100.0,3.0,3.68,6.0,,1
83.0,3.0,2.65,10.0,,0
74.0,2.0,2.5,,,1
68.0,2.0,2.25,,,1
77.0,2.0,2.55,,,0
76.0,2.0,2.6,,,0
81.0,2.0,2.55,,,1
77.0,2.0,3.3,28.0,6.0,1
59.0,2.0,2.1,1.0,30.0,1
74.0,2.0,2.5,1.0,30.0,1
