area,bedroom,price
90.0,3.0,3.69
49.0,1.0,1.76
76.0,3.0,3.7
60.0,2.0,1.88
66.0,2.0,2.73
50.0,2.0,1.95
56.0,2.0,1.42
73.0,3.0,1.8
68.0,2.0,2.15
85.0,2.0,2.3
68.0,2.0,2.7
60.0,2.0,1.9
46.0,2.0,1.02
70.0,2.0,1.6
67.0,2.0,3.2
54.0,2.0,1.46
48.0,1.0,1.68
65.0,2.0,1.65
55.0,1.0,1.78
82.0,2.0,2.25
54.0,2.0,1.58
85.0,2.0,2.7
78.0,2.0,2.77
33.0,1.0,0.6
74.0,3.0,2.15
76.0,2.0,2.6
55.0,2.0,2.05
90.0,3.0,2.55
71.0,2.0,2.29
85.0,2.0,3.6
78.0,3.0,2.65
90.0,3.0,2.69
56.0,2.0,2.2
81.0,2.0,2.65
90.0,3.0,2.7
65.0,2.0,1.53
65.0,2.0,1.6
54.0,2.0,1.32
47.0,1.0,1.05
68.0,2.0,1.7
97.0,3.0,3.45
71.0,3.0,2.5
90.0,2.0,3.5
68.0,2.0,3.2
100.0,3.0,2.9
67.0,2.0,1.6
72.0,2.0,1.7
48.0,1.0,1.35
74.0,2.0,1.83
57.0,2.0,2.35
81.0,3.0,3.3
47.0,2.0,1.1
53.0,2.0,1.52
71.0,3.0,2.5
71.0,2.0,3.2
50.0,1.0,1.78
50.0,2.0,1.05
90.0,3.0,3.0
76.0,3.0,1.98
57.0,2.0,1.55
100.0,2.0,3.3
80.0,3.0,2.85
82.0,3.0,2.46
93.0,3.0,3.55
161.0,3.0,4.5
76.0,3.0,1.7
63.0,2.0,1.4
106.0,3.0,4.1
81.0,2.0,2.85
93.0,3.0,4.0
90.0,2.0,3.3
82.0,2.0,2.3
100.0,3.0,3.76
90.0,2.0,3.4
50.0,2.0,1.05
68.0,2.0,1.55
74.0,3.0,2.02
70.0,2.0,2.73
56.0,2.0,1.9
43.0,2.0,1.9
74.0,2.0,2.0
56.0,2.0,1.87
56.0,2.0,1.87
75.0,2.0,2.7
69.0,2.0,2.2
69.0,2.0,1.95
62.0,2.0,2.3
80.0,2.0,2.7
73.0,3.0,3.5
70.0,2.0,2.6
58.0,2.0,1.75
71.0,2.0,2.6
54.0,2.0,1.5
58.0,2.0,1.9
71.0,2.0,2.65
56.0,2.0,1.87
77.0,3.0,2.3
87.0,3.0,2.4
85.0,2.0,3.2
83.0,2.0,2.4
128.0,3.0,4.3
82.0,2.0,2.68
77.0,2.0,2.5
67.0,2.0,1.5
63.0,2.0,1.5
82.0,3.0,2.2
79.0,2.0,2.95
54.0,2.0,1.89
